EPOCHS_EMPTY_FROM_MVT_TMIN,EPOCHS_LENGTH,EPOCHS_TMIN,FMAX,FMIN,pipeline,score_A,score_B,score_C,score_X,duration_preprocessing,duration_train,memory,FILE_PATH,NUMBER_OF_SESSIONS,RANDOM_STATE,N_SPLIT,BINARY_CLASSIFICATION,VERSION,PATH_RESULTS,NAME_RESULTS,PATH_DATA_PROCESSED,FOLDER_RESULTS_ITERATIONS,NAME_RESULTS_ITERATIONS,LOG_FOLDER,SAVE_EACH_ITERATION,REMOVE_ITERATIONS,REMOVE_DATA_PROCESSED,clf__hidden_layer_sizes
-6,1.7,-0.75,30,9,"Pipeline(steps=[('wavelet', EEGWaveletFeatures()),
                ('clf', RandomForestClassifier())])",0.7623572054040009,0.7390525379184232,0.6529356409858205,0.7752307440873045,413.93972420692444,862.2277934551239,1746.59765625,./../../../data/raw/Data_npy/,-1,42,4,True,4,./results/,many_pipelines_MVT_search_preproc,./data/processed/,/iterations/,many_pipelines_MVT_search_preproc_iter,./logs/,True,True,True,
-6,1.7,-0.75,30,9,"Pipeline(steps=[('fd', FlattenEEGData()), ('ss', StandardScaler()),
                ('clf', MLPClassifier(hidden_layer_sizes=(256, 128, 64, 32)))])",0.5081421379675067,0.5030285500133179,0.5087570751747296,0.49579212241733195,413.93972420692444,7841.225069522858,2137.453125,./../../../data/raw/Data_npy/,-1,42,4,True,4,./results/,many_pipelines_MVT_search_preproc,./data/processed/,/iterations/,many_pipelines_MVT_search_preproc_iter,./logs/,True,True,True,"(256, 128, 64, 32)"
-6,1.7,-0.75,30,9,"Pipeline(steps=[('wavelet', EEGWaveletFeatures()), ('ss', StandardScaler()),
                ('clf', RandomForestClassifier())])",0.7350445771949703,0.7118024397650644,0.6451214943361986,0.7416998903232388,413.93972420692444,1025.4261329174042,1761.31640625,./../../../data/raw/Data_npy/,-1,42,4,True,4,./results/,many_pipelines_MVT_search_preproc,./data/processed/,/iterations/,many_pipelines_MVT_search_preproc_iter,./logs/,True,True,True,
