EPOCHS_TMIN,EPOCHS_LENGTH,EPOCHS_EMPTY_FROM_MVT_TMINS,FMIN,FMAX,CLASSIFIER,RANDOM_STATE,N_SPLIT,NUMBER_OF_SESSIONS,score_A,score_B,score_C,score_X,duration,memory
-0.75,1.7,-6,2,70,SVC,42,4,89,0.8334144282316257,0.8017940315466248,0.7025782147059412,0.8280203518218886,786.9607226848602,2624.8984375
-0.75,1.7,-6,0,75,SVC,42,4,89,0.8333656634777153,0.8008237743487474,0.7045042572810586,0.8273993437670089,817.7142822742462,2669.66796875
-0.75,1.7,-6,8,75,SVC,42,4,89,0.8384879454086764,0.8084481210323381,0.7236538023547238,0.8321314192139524,726.7592670917511,2725.8828125
-0.75,1.7,-6,3,30,SVC,42,4,89,0.8494882630621579,0.8298071626100225,0.7358575065162438,0.8441645582865076,796.8818001747131,2701.9609375
-0.75,1.7,-6,1,35,SVC,42,4,89,0.8520028457269153,0.8306310148143066,0.7308464673481245,0.8468251602914629,794.2621560096741,2689.12890625
-0.75,1.7,-6,9,35,SVC,42,4,89,0.8574604596873745,0.8362981278268393,0.749414980864528,0.8587255442607207,791.7610983848572,2686.22265625
-0.75,1.7,-6,7,40,SVC,42,4,89,0.8587810736906448,0.8380848846996433,0.7332032586333659,0.858839934779738,780.2780051231384,2698.5078125
-0.75,1.7,-6,5,45,SVC,42,4,89,0.8414650130568272,0.825121333446433,0.7311399428341063,0.8407451839480458,935.2218940258026,2609.20703125
-0.75,1.7,-6,3,50,SVC,42,4,89,0.8358021050886575,0.8085771761798002,0.7135892974058029,0.835464176599184,813.8549425601959,2684.10546875
-0.75,1.7,-6,1,55,SVC,42,4,89,0.8353883742815571,0.805674817625316,0.7090920208210584,0.8330089024856636,784.6605808734894,2614.09375
-0.75,1.7,-6,9,55,SVC,42,4,89,0.8416675328489622,0.815723781425129,0.7351967371092769,0.839233092713711,792.3980097770691,2574.5703125
-0.75,1.7,-6,7,60,SVC,42,4,89,0.8413938147985647,0.8133164012261375,0.7287968137187628,0.8317642491639048,811.0142917633057,2652.640625
-0.75,1.7,-6,5,65,SVC,42,4,89,0.8345920636971077,0.8089163157600386,0.7159188542914143,0.8327178602734203,813.276798248291,2715.58203125
-0.75,1.7,-6,3,70,SVC,42,4,89,0.8343293213081037,0.8000087431907708,0.7040799915423944,0.8283144921785904,801.934513092041,2702.9296875
-0.75,1.7,-6,1,75,SVC,42,4,89,0.8333656634777153,0.800823355958312,0.7042169009592195,0.8270929712179892,897.051739692688,2707.23046875
-0.75,1.7,-6,9,75,SVC,42,4,89,0.8385174900088027,0.8108712397059916,0.7309896962697814,0.8358075050839279,676.8148744106293,2730.70703125
-0.75,1.7,-6,4,30,SVC,42,4,89,0.850476568849086,0.8332160675494393,0.7386098298969092,0.8469843137982562,818.5060138702393,2703.8984375
-0.75,1.7,-6,2,35,SVC,42,4,89,0.8520324611026406,0.8307925135223169,0.7320966805653468,0.8465268309358543,813.0179524421692,2681.8828125
-0.75,1.7,-6,0,40,SVC,42,4,89,0.8524572043756876,0.8281940145546725,0.7307913701298168,0.847098344714448,791.7363486289978,2718.03515625
-0.75,1.7,-6,8,40,SVC,42,4,89,0.8562246261004567,0.8369495487761112,0.7338711863171892,0.8593026467462017,816.8282616138458,2677.59375
-0.75,1.7,-6,6,45,SVC,42,4,89,0.8473029892981987,0.8273957349342944,0.7335990277863559,0.8462278500727003,800.0022921562195,2713.3359375
-0.75,1.7,-6,4,50,SVC,42,4,89,0.8354019066895052,0.8105191410723434,0.7169429116193047,0.8338903929817603,852.7512600421906,2692.23046875
-0.75,1.7,-6,2,55,SVC,42,4,89,0.8360391514906453,0.8053509828850633,0.708780300122804,0.8327185632772126,782.9151377677917,2701.05859375
-0.75,1.7,-6,0,60,SVC,42,4,89,0.8318145776643264,0.803251729336049,0.7041946848682734,0.8305220054839283,809.3267784118652,2633.546875
-0.75,1.7,-6,8,60,SVC,42,4,89,0.8391279735920627,0.8111973944615629,0.7311114497367879,0.8345582526715707,825.5213253498077,2587.13671875
