EPOCHS_TMIN,EPOCHS_LENGTH,EPOCHS_EMPTY_FROM_MVT_TMINS,FMIN,FMAX,CLASSIFIER,RANDOM_STATE,N_SPLIT,NUMBER_OF_SESSIONS,score_A,score_B,score_C,score_X,duration,memory
-0.75,1.7,-6,8,30,SVC,42,4,89,0.8543796347814705,0.8384049614360168,0.7544639340396221,0.8534469515882729,1082.2402260303497,2620.18359375
-0.75,1.7,-6,6,35,SVC,42,4,89,0.8529777180717375,0.8367857866754971,0.7417647704183952,0.8543135546028371,1091.3142087459564,2728.88671875
-0.75,1.7,-6,4,40,SVC,42,4,89,0.8508795371161535,0.8320811223211537,0.7352307536397003,0.8468800104793907,1103.040699481964,2715.484375
-0.75,1.7,-6,2,45,SVC,42,4,89,0.8417645053417493,0.8208990927152978,0.7269014892947292,0.8403164849517881,1107.0505793094635,2616.0
-0.75,1.7,-6,0,50,SVC,42,4,89,0.835720073904783,0.8087439186335115,0.7115276553970951,0.8342501602484171,1106.899551153183,2715.70703125
-0.75,1.7,-6,8,50,SVC,42,4,89,0.8406750592280776,0.8184780647736263,0.7376340478860975,0.8367073997596464,1094.8773238658905,2605.76953125
-0.75,1.7,-6,6,55,SVC,42,4,89,0.8409954808540765,0.8181624114135169,0.7234129481763046,0.8338976559714135,1105.3709695339203,2638.25390625
-0.75,1.7,-6,4,60,SVC,42,4,89,0.8361377970580909,0.8022722370418816,0.7098717299863571,0.8314827779930364,1103.890830039978,2622.93359375
-0.75,1.7,-6,2,65,SVC,42,4,89,0.8330503764261186,0.799848511102895,0.7041927490369317,0.8295800635930589,1099.7128536701202,2680.6640625
-0.75,1.7,-6,0,70,SVC,42,4,89,0.8331283870416942,0.8013091175734139,0.7022791716437402,0.8280203518218886,1113.8401930332184,2692.953125
-0.75,1.7,-6,8,70,SVC,42,4,89,0.8387728591982269,0.8090985348109794,0.7258727154504327,0.8330278346939628,1082.9930152893066,2721.328125
-0.75,1.7,-6,6,75,SVC,42,4,89,0.8379046943777974,0.8073229186239825,0.7191479904633378,0.832696161976953,1082.600877046585,2703.125
