EPOCHS_TMIN,EPOCHS_LENGTH,EPOCHS_EMPTY_FROM_MVT_TMINS,FMIN,FMAX,CLASSIFIER,RANDOM_STATE,N_SPLIT,NUMBER_OF_SESSIONS,score_A,score_B,score_C,score_X,duration,memory
-1.25,1.5,-4.0,1,40,SVC,42,4,89,0.7978775493507513,0.7807059471978677,0.6838725375086742,0.7887202461748665,1134.805392742157,2547.08203125
-1.5,1.6,-4.0,1,40,SVC,42,4,89,0.7631766726952303,0.744125399310767,0.6673824522031948,0.749689589067464,1145.0534627437592,2520.14453125
0.0,1.8,-4.0,1,40,SVC,42,4,89,0.778581670646093,0.7407668108893525,0.654584711462223,0.7736637643084647,1164.5358908176422,2773.12890625
-0.25,1.9,-4.0,1,40,SVC,42,4,89,0.8036586426447909,0.7710151310256628,0.670730230393157,0.8026024192759134,1151.4602825641632,2904.71875
-0.5,2.0,-4.0,1,40,SVC,42,4,89,0.8299044043244849,0.7959359041265104,0.6918538166538198,0.8244358045489397,1165.7326757907867,2853.125
-0.75,2.1,-4.0,1,40,SVC,42,4,89,0.8415264373618253,0.8072745938640158,0.7028624489463683,0.8344018436914487,1165.5455813407898,3065.82421875
-1.0,2.2,-4.0,1,40,SVC,42,4,89,0.8383274898112412,0.8072689338274265,0.6967942462493739,0.8325488661765938,1150.8126487731934,3178.97265625
-1.25,2.3,-4.0,1,40,SVC,42,4,89,0.8289776986751928,0.7991635849053784,0.6908791276966252,0.8250483968524284,1128.0241248607635,3282.2265625
-1.5,2.4,-4.0,1,40,SVC,42,4,89,0.8059633891562693,0.7884796887152905,0.6806480797468153,0.7996305748376229,1148.546294927597,3378.59375
0.0,1.5,-4.5,1,40,SVC,42,4,89,0.7998478708603343,0.765849085941509,0.6762607604837098,0.7994960534811751,1099.0770955085754,2453.6640625
-0.25,1.6,-4.5,1,40,SVC,42,4,89,0.8278435635634656,0.7883406499345813,0.7051865400255053,0.8218806052369056,1098.1989011764526,2907.6640625
-0.5,1.7,-4.5,1,40,SVC,42,4,89,0.842417514424608,0.8077742031368821,0.7159521154832637,0.8391016048824778,1079.9040253162384,2753.15234375
