EPOCHS_TMIN,EPOCHS_LENGTH,EPOCHS_EMPTY_FROM_MVT_TMINS,FMIN,FMAX,CLASSIFIER,RANDOM_STATE,N_SPLIT,NUMBER_OF_SESSIONS,score_A,score_B,score_C,score_X,duration,memory
-0.5,1.5,-4.0,1,40,SVC,42,4,89,0.8443334754455647,0.806952230816244,0.7136317719025889,0.833905253150655,789.1876184940338,2466.65625
-0.75,1.6,-4.0,1,40,SVC,42,4,89,0.8424099020984435,0.8114972773313174,0.7159762761867805,0.8340904003152132,784.9442291259766,2502.14453125
-1.0,1.7,-4.0,1,40,SVC,42,4,89,0.8359414115379743,0.8033854251389647,0.7067779327478332,0.8298791877071618,816.5283913612366,2620.93359375
-1.25,1.8,-4.0,1,40,SVC,42,4,89,0.8133268644225216,0.7923628165165983,0.6878427401001197,0.810376979960049,810.9728219509125,2827.41015625
-1.5,1.9,-4.0,1,40,SVC,42,4,89,0.7806023581124295,0.7706567366929405,0.6738583881278788,0.7790603887914949,802.1088349819183,2780.6796875
0.0,2.1,-4.0,1,40,SVC,42,4,89,0.7527658625916303,0.7210148848629547,0.6414657041273195,0.7445815890687422,820.9366953372955,3021.60546875
-0.25,2.2,-4.0,1,40,SVC,42,4,89,0.7889327974983114,0.7482094016083705,0.6571877292248545,0.7802054932598204,819.7251737117767,3251.45703125
-0.5,2.3,-4.0,1,40,SVC,42,4,89,0.810014995555003,0.7745802717887598,0.6692622958418307,0.810247848830254,828.9284875392914,3314.78125
-0.75,2.4,-4.0,1,40,SVC,42,4,89,0.8266144615583986,0.7904440759710512,0.674060832932359,0.825627275283655,833.127739906311,3278.21484375
-1.0,2.5,-4.0,1,40,SVC,42,4,89,0.8356269426452246,0.7990182218175661,0.678832344597638,0.8334030391138769,849.7445664405823,3534.9375
-1.25,1.5,-4.5,1,40,SVC,42,4,89,0.8000777900048325,0.7798984612774693,0.6921125481294542,0.792036289115113,795.4695060253143,2545.0625
-1.5,1.6,-4.5,1,40,SVC,42,4,89,0.7593252808294336,0.7462135528003486,0.6673893813356574,0.7539598031177716,788.2433676719666,2770.96484375
0.0,1.8,-4.5,1,40,SVC,42,4,89,0.7920768457360609,0.748043714050876,0.6642728016217975,0.7785117442854839,793.036874294281,2875.125
-0.25,1.9,-4.5,1,40,SVC,42,4,89,0.8104728852542574,0.776212716972907,0.6846136684232718,0.8077644259669992,797.7515411376953,2979.7421875
-0.5,2.0,-4.5,1,40,SVC,42,4,89,0.8325193590880349,0.7922350732180568,0.7015563931793338,0.8282992050351099,805.2829127311707,3048.0234375
-0.75,2.1,-4.5,1,40,SVC,42,4,89,0.843584253560796,0.8037287637594224,0.7148707427204091,0.8428860914648373,811.4842367172241,3158.09375
-1.0,2.2,-4.5,1,40,SVC,42,4,89,0.846553101312981,0.8077651846127394,0.7089787932013303,0.8392756988059817,864.5220909118652,3173.1328125
-1.25,2.3,-4.5,1,40,SVC,42,4,89,0.8291306585296323,0.7980460841929657,0.6927935490897665,0.8257568302487328,846.8636231422424,3248.15625
-1.5,2.4,-4.5,1,40,SVC,42,4,89,0.8101665582789944,0.7833102687495033,0.6862546143961168,0.8068458601852753,825.03972697258,3410.5859375
0.0,1.5,-5.0,1,40,SVC,42,4,89,0.8042350934951645,0.7753926472684219,0.6862281217400412,0.8064690332768631,778.4296703338623,2749.6015625
-0.25,1.6,-5.0,1,40,SVC,42,4,89,0.8213544395363602,0.7972436706961753,0.7043290491043195,0.8278714985835608,791.0480351448059,2716.359375
-0.5,1.7,-5.0,1,40,SVC,42,4,89,0.8354064514177206,0.8116432634819599,0.7080125027476529,0.8375335893665556,785.2881021499634,2764.78515625
-0.75,1.8,-5.0,1,40,SVC,42,4,89,0.8445014992175103,0.8211968917850967,0.71280397181651,0.8482120814018679,847.3518435955048,2752.015625
-1.0,1.9,-5.0,1,40,SVC,42,4,89,0.8456011525841662,0.8220196808537394,0.7064024389578826,0.8390580325810448,808.7731559276581,2838.77734375
-1.25,2.0,-5.0,1,40,SVC,42,4,89,0.8299252372263656,0.8079225353465017,0.6999576958607623,0.8260120298934084,810.332337141037,3084.29296875
-1.5,2.1,-5.0,1,40,SVC,42,4,89,0.807494936812243,0.7831553266802995,0.6896224185434522,0.797761045227325,831.7497038841248,3171.171875
0.0,2.3,-5.0,1,40,SVC,42,4,89,0.7434235942229057,0.7083716287112642,0.6284206795155032,0.7307574817467744,824.3521900177002,3301.625
-0.25,2.4,-5.0,1,40,SVC,42,4,89,0.7785154846498002,0.7362251376512646,0.6488365997188175,0.7666089473829123,821.4476580619812,3378.90234375
-0.5,2.5,-5.0,1,40,SVC,42,4,89,0.8010843254042556,0.766823961792265,0.6638688151496235,0.796878638787373,843.0605578422546,3631.23046875
-0.75,1.5,-5.5,1,40,SVC,42,4,89,0.8450106061171196,0.8186177160752388,0.7224472578066237,0.838735884404268,837.5930259227753,2548.97265625
-1.0,1.6,-5.5,1,40,SVC,42,4,89,0.8390288971809037,0.8119748611227416,0.7108374063675473,0.8348216989977351,772.2731230258942,2925.14453125
-1.25,1.7,-5.5,1,40,SVC,42,4,89,0.8152660012212445,0.8024072104081986,0.6992039350523109,0.8157540308379493,797.0238244533539,2786.74609375
-1.5,1.8,-5.5,1,40,SVC,42,4,89,0.780423371332404,0.778598289453074,0.6782622332415829,0.7806948443673883,826.3599627017975,2662.8359375
0.0,2.0,-5.5,1,40,SVC,42,4,89,0.7724535708694813,0.7448103906908177,0.6597700336547884,0.7664920169730791,790.9835722446442,3018.37890625
-0.25,2.1,-5.5,1,40,SVC,42,4,89,0.803491356873828,0.7724848110358573,0.6767208649663337,0.8000648711300582,822.4761755466461,3155.94921875
-0.5,2.2,-5.5,1,40,SVC,42,4,89,0.8262837384731642,0.7982168404378447,0.6966325922957499,0.8232431687582679,864.2116038799286,3219.31640625
-0.75,2.3,-5.5,1,40,SVC,42,4,89,0.8404357975330752,0.8148906393034434,0.7095815153140691,0.8411453271421296,821.7049705982208,3410.796875
-1.0,2.4,-5.5,1,40,SVC,42,4,89,0.8470218785069384,0.8153862610823299,0.7096132977344833,0.8447273390450734,818.8577628135681,3461.0390625
-1.25,2.5,-5.5,1,40,SVC,42,4,89,0.8403482051869833,0.8129358902735484,0.7093809202141036,0.8357439973291753,835.0065486431122,3670.140625
-1.5,1.5,-6.0,1,40,SVC,42,4,89,0.7672934235199522,0.753159401631455,0.6797740149143604,0.7632941153658934,818.2960324287415,2615.87109375
0.0,1.7,-6.0,1,40,SVC,42,4,89,0.7945982954387286,0.7726515224722613,0.6835796401844964,0.7897988903457769,801.2845134735107,2890.3125
-0.25,1.8,-6.0,1,40,SVC,42,4,89,0.8266119681353723,0.8032545665730971,0.7075978451546696,0.8218817407388765,835.558464050293,2900.65234375
-0.5,1.9,-6.0,1,40,SVC,42,4,89,0.84075627067979,0.8191311936206602,0.7185520902829609,0.8339564527911127,789.1303839683533,3009.34375
-0.75,2.0,-6.0,1,40,SVC,42,4,89,0.853555795527044,0.829328706811516,0.7232843552192976,0.848219507815272,826.4733784198761,2892.2421875
-1.0,2.1,-6.0,1,40,SVC,42,4,89,0.8582046659188322,0.8272267204344085,0.7179726759505959,0.8500078121782138,805.3319659233093,3093.08984375
-1.25,2.2,-6.0,1,40,SVC,42,4,89,0.8429937252529353,0.8228574735084624,0.7139810211437491,0.8381437931285565,844.8988521099091,3252.27734375
-1.5,2.3,-6.0,1,40,SVC,42,4,89,0.8224469312196726,0.8055172949627423,0.6949083917799094,0.8187598717403264,835.4373395442963,3392.01953125
0.0,2.5,-6.0,1,40,SVC,42,4,89,0.7291030568470023,0.7056165463797892,0.6296200560508503,0.7144000809253872,873.5208988189697,3585.0625
-0.25,1.5,-6.5,1,40,SVC,42,4,89,0.8210440253512329,0.8020407856642102,0.7150179955235796,0.8209340187510923,764.855409860611,2789.76953125
-0.5,1.6,-6.5,1,40,SVC,42,4,89,0.8420674368618047,0.8161393067355028,0.721890232711156,0.8330741764401285,783.0562434196472,2762.97265625
-0.75,1.7,-6.5,1,40,SVC,42,4,89,0.8468288918612086,0.8208525993134821,0.720307069823096,0.8386147139118374,813.6160805225372,2618.37109375
-1.0,1.8,-6.5,1,40,SVC,42,4,89,0.8426331658902156,0.8200356835082314,0.7260203229017057,0.8371211602689327,802.1698040962219,2717.10546875
-1.25,1.9,-6.5,1,40,SVC,42,4,89,0.8308656380696242,0.808346674433569,0.715052494171671,0.8250130665567853,811.020204782486,2974.09765625
-1.5,2.0,-6.5,1,40,SVC,42,4,89,0.8106111855975701,0.7851548749469636,0.6985462468141466,0.7977079432792121,806.967836856842,2880.4609375
0.0,2.2,-6.5,1,40,SVC,42,4,89,0.7375827269474381,0.7255894195738719,0.6473408729931585,0.730497923644327,810.393392086029,3313.3828125
-0.25,2.3,-6.5,1,40,SVC,42,4,89,0.7800090616637718,0.7592926937146207,0.6675846448999696,0.7644137696166567,836.6478688716888,3392.4921875
-0.5,2.4,-6.5,1,40,SVC,42,4,89,0.8051837900702509,0.7873179074276072,0.6854944334771333,0.7962552203302735,853.7889063358307,3445.0
-0.75,2.5,-6.5,1,40,SVC,42,4,89,0.8287826399813482,0.8072497533426699,0.6969164722025721,0.8252957685798714,828.9816958904266,3446.02734375
-1.0,1.5,-7.0,1,40,SVC,42,4,89,0.8084819113792603,0.7919589023697415,0.7112782361627618,0.809816356353227,797.3278992176056,2917.3125
-1.25,1.6,-7.0,1,40,SVC,42,4,89,0.7955274483883578,0.7831803526765583,0.6988417210880769,0.791726113276721,794.8321471214294,2574.3671875
-1.5,1.7,-7.0,1,40,SVC,42,4,89,0.761044196911236,0.755604170149609,0.6848242714484024,0.762583274524284,773.4871606826782,3027.75390625
0.0,1.9,-7.0,1,40,SVC,42,4,89,0.7503596315171526,0.7378345026190563,0.6676473806817846,0.746040618706959,805.7802736759186,2859.62890625
-0.25,2.0,-7.0,1,40,SVC,42,4,89,0.7803931044373742,0.7665483188268549,0.6851133618905112,0.7754207240403674,832.9260764122009,2968.86328125
-0.5,2.1,-7.0,1,40,SVC,42,4,89,0.8083571093121551,0.7929803453300025,0.698266573590645,0.8066544370045691,808.7366621494293,2956.58203125
-0.75,2.2,-7.0,1,40,SVC,42,4,89,0.830944797657037,0.8127677431429843,0.7107915758178203,0.8237068443724531,835.1223800182343,3319.63671875
-1.0,2.3,-7.0,1,40,SVC,42,4,89,0.8340526931430052,0.8186136163330238,0.7189385372888482,0.8298593891639584,833.3081378936768,3341.48046875
-1.25,2.4,-7.0,1,40,SVC,42,4,89,0.8341878094285804,0.8164952631877282,0.7173835477555474,0.8217520821014299,764.7784209251404,3554.4765625
-1.5,2.5,-7.0,1,40,SVC,42,4,89,0.8170988177742504,0.802373370161584,0.6997990499825122,0.8044675486195187,754.5174973011017,3568.5703125
